method,patch_id,split,image_name,city,x,y,seconds,iou,dice,precision,recall,f1,n_pred,n_gt,count_err,area_ratio_pred,area_ratio_gt,area_abs_error,selected_c,threshold
K-Means,test_austin15_512_512,test,austin15.tif,austin,512,512,0.2185808919999772,0.1691702662626523,0.28938516680452164,0.18169354447821962,0.7105142021607863,0.28938516680452164,9.0,30.0,21.0,55.09147644042969,14.088058471679688,41.00341796875,,
K-Means,test_austin15_1536_0,test,austin15.tif,austin,0,1536,0.08120885099992847,0.2932034811438044,0.4534529722800833,0.31694951953588735,0.7964801020695349,0.4534529722800833,13.0,53.0,40.0,51.09138488769531,20.331192016601562,30.76019287109375,,
K-Means,test_austin15_1536_3584,test,austin15.tif,austin,3584,1536,0.0842675160000681,0.11370855283545088,0.20419804184129522,0.16799725298308868,0.26028551161553465,0.20419804184129522,43.0,19.0,24.0,13.331222534179688,8.60443115234375,4.7267913818359375,,
K-Means,test_austin15_2560_512,test,austin15.tif,austin,512,2560,0.08295872700000473,0.28721396012707767,0.446256751439711,0.3278395593769051,0.6985911707393554,0.446256751439711,31.0,34.0,3.0,36.292266845703125,17.031478881835938,19.260787963867188,,
K-Means,test_austin15_3072_2560,test,austin15.tif,austin,2560,3072,0.0807302459999164,0.3491685066002725,0.5176054805490995,0.5299926912312601,0.5057840835629954,0.5176054805490994,35.0,31.0,4.0,21.399307250976562,22.423553466796875,1.0242462158203125,,
K-Means,test_austin15_3072_4096,test,austin15.tif,austin,4096,3072,0.08449854799994228,0.25320724771855574,0.4040947707245,0.29627967439413166,0.635265620333809,0.40409477072450006,46.0,18.0,28.0,24.649810791015625,11.496353149414062,13.153457641601562,,
K-Means,test_austin15_3584_2048,test,austin15.tif,austin,2048,3584,0.08643127699997422,0.3889616856229362,0.5600754716981132,0.4518204326825506,0.7365513134387613,0.5600754716981132,21.0,30.0,9.0,37.59307861328125,23.06060791015625,14.532470703125,,
K-Means,test_austin15_3584_2560,test,austin15.tif,austin,2560,3584,0.08079791800003022,0.24708060642724888,0.396254428388728,0.2795820858369692,0.6800430556022738,0.39625442838872793,6.0,38.0,32.0,55.16929626464844,22.681427001953125,32.48786926269531,,
K-Means,test_austin15_3584_4096,test,austin15.tif,austin,4096,3584,0.08723091800004568,0.10566690583320482,0.1911369604638328,0.10706545002411996,0.8899807974697842,0.1911369604638328,9.0,6.0,3.0,56.14509582519531,6.754302978515625,49.39079284667969,,
K-Means,test_austin16_0_1024,test,austin16.tif,austin,1024,0,0.08227092900006028,0.40548703203424324,0.5770057251220002,0.55413029277273,0.6018511550906765,0.5770057251220002,11.0,3.0,8.0,38.541412353515625,35.48545837402344,3.0559539794921875,,
K-Means,test_austin16_512_512,test,austin16.tif,austin,512,512,0.08255499500000951,0.33724858808906094,0.5043917654398004,0.46323520986352856,0.553574607347766,0.5043917654398004,24.0,8.0,16.0,33.29124450683594,27.858352661132812,5.432891845703125,,
K-Means,test_austin16_1024_0,test,austin16.tif,austin,0,1024,0.08135199900004864,0.0001625619767536373,0.0003250711093051605,0.0001634766024112799,0.02823529411764706,0.00032507110930516054,11.0,3.0,8.0,28.001785278320312,0.1621246337890625,27.83966064453125,,
K-Means,test_austin16_1024_3072,test,austin16.tif,austin,3072,1024,0.07994200600001022,0.05104977988486285,0.09714055577929924,0.05487430326470254,0.42278702892199826,0.09714055577929924,9.0,6.0,3.0,33.535003662109375,4.352569580078125,29.18243408203125,,
K-Means,test_austin16_1536_0,test,austin16.tif,austin,0,1536,0.07897783300006722,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,17.821884155273438,0.0,17.821884155273438,,
K-Means,test_austin16_1536_2048,test,austin16.tif,austin,2048,1536,0.08085567199998422,0.18608694225990832,0.3137829709268158,0.18995638671008463,0.9013346043851287,0.3137829709268158,17.0,5.0,12.0,45.56999206542969,9.6038818359375,35.96611022949219,,
K-Means,test_austin16_1536_2560,test,austin16.tif,austin,2560,1536,0.08295027699989532,0.32992600657271315,0.4961569364643815,0.6048643453833075,0.4205710761006451,0.4961569364643816,28.0,5.0,23.0,20.64056396484375,29.685211181640625,9.044647216796875,,
K-Means,test_austin16_2048_3072,test,austin16.tif,austin,3072,2048,0.07956982500002141,0.3234915394607718,0.48884564776677225,0.4699774191953322,0.5092922527349855,0.4888456477667722,8.0,6.0,2.0,46.288299560546875,42.71507263183594,3.5732269287109375,,
K-Means,test_austin16_2048_3584,test,austin16.tif,austin,3584,2048,0.08161731500001679,0.16487887996672637,0.2830833021394224,0.7198968981576404,0.1761813281339603,0.28308330213942234,15.0,6.0,9.0,13.023757934570312,53.216552734375,40.19279479980469,,
K-Means,test_austin16_2560_0,test,austin16.tif,austin,0,2560,0.08354107899992869,0.45128609712725726,0.6219119690053585,0.5286730726912638,0.7550810878766291,0.6219119690053585,26.0,6.0,20.0,26.002883911132812,18.206024169921875,7.7968597412109375,,
K-Means,test_austin16_2560_3072,test,austin16.tif,austin,3072,2560,0.0790947899999992,0.039568756247322576,0.07612532794879191,0.03998210833116902,0.7928469241773963,0.07612532794879191,7.0,1.0,6.0,26.438140869140625,1.3332366943359375,25.104904174804688,,
K-Means,test_austin16_3072_1536,test,austin16.tif,austin,1536,3072,0.08074181999995744,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,37.902069091796875,0.0,37.902069091796875,,
K-Means,test_austin16_3072_3072,test,austin16.tif,austin,3072,3072,0.08060751999994409,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,13.4185791015625,0.0,13.4185791015625,,
K-Means,test_austin16_3072_3584,test,austin16.tif,austin,3584,3072,0.08078717199998664,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,5.9352874755859375,0.0,5.9352874755859375,,
K-Means,test_austin16_3584_0,test,austin16.tif,austin,0,3584,0.08214281699997628,0.07174161332306303,0.13387856257744735,0.07345995195140746,0.754118194509074,0.13387856257744735,21.0,6.0,15.0,42.07801818847656,4.0988922119140625,37.9791259765625,,
K-Means,test_austin16_4096_0,test,austin16.tif,austin,0,4096,0.08308429800001704,0.2333005709655395,0.37833530034432833,0.2568964235259127,0.7175162101668321,0.37833530034432833,14.0,9.0,5.0,46.17347717285156,16.531753540039062,29.6417236328125,,
K-Means,test_austin16_4096_2560,test,austin16.tif,austin,2560,4096,0.08989400100006151,0.18433454445051048,0.31128796388529767,0.1869685320026478,0.9290006325110689,0.31128796388529767,8.0,7.0,1.0,59.9334716796875,12.06207275390625,47.87139892578125,,
K-Means,test_austin17_0_3072,test,austin17.tif,austin,3072,0,0.08142685699999674,0.3458721421137722,0.5139747399341507,0.47732261415473554,0.5567238400269712,0.5139747399341507,18.0,20.0,2.0,42.23060607910156,36.20758056640625,6.0230255126953125,,
K-Means,test_austin17_1024_3584,test,austin17.tif,austin,3584,1024,0.08209229699991738,0.34675083346996777,0.5149443012803604,0.6229105814781178,0.4388759187202767,0.5149443012803604,33.0,20.0,13.0,15.541458129882812,22.058486938476562,6.51702880859375,,
K-Means,test_austin17_1536_1024,test,austin17.tif,austin,1024,1536,0.08379494300004353,0.14009625294290062,0.24576214961021728,0.16920951054062078,0.4488095959289998,0.2457621496102173,31.0,20.0,11.0,33.403778076171875,12.593841552734375,20.8099365234375,,
K-Means,test_austin17_2048_512,test,austin17.tif,austin,512,2048,0.08366006900007505,0.37795996574790797,0.5485790228205428,0.5165102537365311,0.5848935304845249,0.5485790228205428,44.0,47.0,3.0,32.924652099609375,29.075241088867188,3.8494110107421875,,
K-Means,test_austin17_2560_512,test,austin17.tif,austin,512,2560,0.0811539129999801,0.24282099434848925,0.39075779288035073,0.3175487144010146,0.5078367015784039,0.3907577928803507,39.0,43.0,4.0,33.084869384765625,20.6878662109375,12.397003173828125,,
K-Means,test_austin17_3072_512,test,austin17.tif,austin,512,3072,0.09161139200000434,0.2986652840297581,0.4599572926181561,0.42686637548701484,0.49860979960130103,0.45995729261815615,34.0,54.0,20.0,33.97483825683594,29.0863037109375,4.8885345458984375,,
K-Means,test_austin17_3584_4096,test,austin17.tif,austin,4096,3584,0.08099155000002156,0.2520213099341899,0.4025830997196636,0.5006536761501588,0.33664029469630374,0.4025830997196636,24.0,7.0,17.0,24.51019287109375,36.45172119140625,11.9415283203125,,
K-Means,test_austin17_4096_4096,test,austin17.tif,austin,4096,4096,0.08349649100000534,0.14328280017026293,0.25065154509264825,0.34106231245859475,0.1981300794603038,0.2506515450926483,37.0,10.0,27.0,9.788894653320312,16.850662231445312,7.061767578125,,
K-Means,test_austin3_0_2560,test,austin3.tif,austin,2560,0,0.08259891400007291,0.26916686065646145,0.42416307737067466,0.3025561901668336,0.7092216582064298,0.4241630773706747,26.0,21.0,5.0,42.27790832519531,18.035888671875,24.242019653320312,,
K-Means,test_austin3_1024_3072,test,austin3.tif,austin,3072,1024,0.08326460700004645,0.2554690907421436,0.4069699407591604,0.2996499730748519,0.6340587967183227,0.4069699407591604,48.0,23.0,25.0,28.3355712890625,13.39111328125,14.9444580078125,,
K-Means,test_austin3_1536_3072,test,austin3.tif,austin,3072,1536,0.08004787699996996,0.20005855576390874,0.33341465681490773,0.21731294912276716,0.7158821621891291,0.33341465681490773,20.0,17.0,3.0,50.37803649902344,15.292739868164062,35.085296630859375,,
K-Means,test_austin3_2048_1536,test,austin3.tif,austin,1536,2048,0.08278220399995462,0.18770345627989923,0.31607798274464943,0.2180478942479222,0.5742492801316331,0.31607798274464943,13.0,26.0,13.0,46.40312194824219,17.619705200195312,28.783416748046875,,
